Valor;Dt_Vcto;Dt_Pgto;Observação;Local_Pgto;ND;MES_ANO;SOMA?;Sequencial
63,74;28/12/2017;28/12/2017;Sabesp - R4-CS52 - 0182247090;BRA;036;201712;VERDADEIRO;198
49,99;02/01/2018;02/01/2018;Telefone: 9.9324-0594;BRA;070;201801;VERDADEIRO;199
146,98;05/01/2018;05/01/2018;Net - R4-CS52 - 3195440450;BRA;037;201801;VERDADEIRO;200
846,01;18/12/2017;26/12/2017;Isabelle - Colegio ACARIBAMBA;STA;039;201801;VERDADEIRO;201
1755,45;05/01/2018;26/12/2017;Cartão de Crédito Nubank;STA;042;201801;VERDADEIRO;202
250;20/12/2018;20/12/2018;Ajuda Sr. Celso + Porta Loja Gabi;ESP;057;201812;VERDADEIRO;203
105,14;05/01/2018;05/01/2018;Eletropaulo - R4-CS52 - 100067063086;BRA;035;201801;VERDADEIRO;204
301,92;15/01/2018;03/01/2018;Condomínio CASA 52;BRA;038;201801;VERDADEIRO;205
-1314;26/12/2017;28/12/2017;Deposito APARTAMENTO;BRA;061;201712;VERDADEIRO;206
-700;27/12/2017;27/12/2017;Estava na Ilha e recebi em Especie;ESP;067;201712;VERDADEIRO;207
350;05/01/2018;05/01/2018;CINTIA PAGOU EM ESPECIE;ESP;055;201801;VERDADEIRO;208
48,55;09/01/2018;09/01/2018;Sabesp - Praia - 0323678483;BRA;046;201801;VERDADEIRO;209
1159,4;31/12/2017;05/01/2018;IPTU 2017;STA;047;201712;VERDADEIRO;210
112,86;05/01/2018;05/01/2018;Eletropaulo - Apartamento - B13-Ap.26;BRA;048;201801;VERDADEIRO;211
140;20/01/2018;26/12/2017;Isabelle - Perua- Ultimo pagto Acaribamba;ESP;040;201801;VERDADEIRO;212
374,07;15/01/2018;08/01/2018;Condomínio + Sabesp - APARTAMENTO;BRA;049;201801;VERDADEIRO;213
84,04;19/01/2018;20/01/2018;Praia - Elektro - LUZ - Mes 12 e 01;BRA;045;201801;VERDADEIRO;214
350;20/01/2018;19/01/2018;SONIA - DIA 20;ESP;054;201801;VERDADEIRO;215
-600;10/01/2018;10/01/2018;3. Aluguel Sra.Loides;BRA;068;201801;VERDADEIRO;216
0,001;02/01/2018;02/01/2018;Valor zerado, pois não atingiu o mínimo;BRA;071;201801;VERDADEIRO;217
0;01/02/2018;01/02/2018;Valor zerado, pois não atingiu o mínimo;BRA;071;201802;VERDADEIRO;218
48,55;29/01/2018;29/01/2018;Sabesp - R4-CS52 - 0182247090;BRA;036;201801;VERDADEIRO;219
